0.032,0.031,0.035,0.035,0.04,0.045,0.043,0.042,0.045,0.042,0.042,0.047,0.033,0.027,0.036,0.031,0.033,0.037,0.025,0.031,0.03,0.02,0.022,0.014,0.024,0.014,0.013,0.012,0.012,0.013,0.009,0.016,0.016,0.003,0.015,0.003,0.006,0.006,0.003,0.008,0.005,0.004
0.009,0.011,0.01,0.014,0.022,0.017,0.019,0.024,0.023,0.022,0.026,0.02,0.039,0.032,0.038,0.035,0.028,0.041,0.045,0.039,0.04,0.041,0.037,0.033,0.03,0.026,0.038,0.031,0.032,0.026,0.023,0.009,0.017,0.019,0.012,0.019,0.014,0.008,0.007,0.004,0.008,0.012
0,0.002,0.002,0.001,0,0.003,0.002,0.003,0.003,0.005,0.002,0.003,0.003,0.003,0.013,0.008,0.006,0.014,0.006,0.014,0.021,0.015,0.026,0.024,0.032,0.033,0.039,0.048,0.049,0.045,0.061,0.063,0.072,0.077,0.063,0.047,0.065,0.043,0.039,0.02,0.013,0.012
0.003,0.004,0.003,0.005,0.004,0.003,0.004,0.006,0.008,0.004,0.005,0.014,0.018,0.015,0.017,0.02,0.022,0.019,0.023,0.021,0.03,0.038,0.033,0.033,0.041,0.038,0.051,0.045,0.055,0.044,0.06,0.046,0.041,0.038,0.032,0.031,0.031,0.014,0.03,0.016,0.022,0.013
0.016,0.02,0.017,0.024,0.02,0.026,0.025,0.055,0.032,0.042,0.036,0.044,0.043,0.043,0.043,0.035,0.038,0.041,0.036,0.038,0.03,0.032,0.031,0.029,0.021,0.023,0.019,0.019,0.018,0.015,0.012,0.015,0.013,0.003,0.013,0.004,0.006,0.007,0.003,0.01,0.001,0.002
0,0,0,0,0,0,0.001,0,0.002,0,0,0.002,0.001,0.002,0.003,0.001,0.004,0.003,0.001,0.001,0.004,0.005,0.006,0.009,0.007,0.005,0.011,0.017,0.021,0.025,0.032,0.04,0.052,0.073,0.075,0.091,0.098,0.094,0.126,0.092,0.057,0.039
0.002,0.004,0.007,0.004,0.007,0.003,0.008,0.011,0.005,0.011,0.014,0.012,0.014,0.018,0.016,0.02,0.023,0.025,0.026,0.026,0.025,0.035,0.043,0.041,0.041,0.049,0.044,0.053,0.048,0.04,0.039,0.042,0.042,0.031,0.033,0.028,0.029,0.015,0.02,0.021,0.015,0.01
0.084,0.099,0.084,0.075,0.081,0.07,0.062,0.046,0.053,0.052,0.046,0.026,0.031,0.026,0.02,0.017,0.024,0.012,0.013,0.019,0.008,0.011,0.004,0.011,0.006,0.006,0.003,0.002,0.001,0.001,0,0.002,0,0.001,0,0.001,0.003,0,0,0,0,0
0.018,0.01,0.027,0.017,0.023,0.022,0.032,0.023,0.043,0.035,0.037,0.033,0.04,0.044,0.052,0.04,0.042,0.028,0.031,0.04,0.032,0.029,0.029,0.027,0.032,0.022,0.023,0.017,0.02,0.025,0.013,0.01,0.007,0.011,0.02,0.006,0.009,0.008,0.009,0.006,0.004,0.004
0.007,0.011,0.009,0.008,0.012,0.015,0.019,0.015,0.013,0.023,0.022,0.026,0.029,0.033,0.034,0.035,0.035,0.03,0.04,0.034,0.042,0.038,0.042,0.044,0.026,0.044,0.034,0.031,0.023,0.026,0.033,0.019,0.029,0.022,0.012,0.014,0.017,0.016,0.011,0.01,0.008,0.009
